id,title,date,link
1,Radar Tracks Space Objects from Japanese Ship," April 15, 2024",https://www.defenseadvancement.com/news/radar-tracks-space-objects-from-japanese-ship/
2,infiniDome Launches New Subsidiary," April 15, 2024",https://www.defenseadvancement.com/news/infinidome-launches-new-subsidiary/
3,Key Milestone on Moonraker MOSA Space Payload Program," April 15, 2024",https://www.defenseadvancement.com/news/key-milestone-on-moonraker-mosa-space-payload-program/
4,CUAS High Energy Laser Systems Support for U.S. Army," April 12, 2024",https://www.defenseadvancement.com/news/cuas-high-energy-laser-systems-support-for-u-s-army/
5,SATCOM Ground System Excels in Military Trials," April 12, 2024",https://www.defenseadvancement.com/news/satcom-ground-system-excels-in-military-trials/
6,Mobile Coastal Security & Awareness Platforms to be Developed for the US Air Force," April 12, 2024",https://www.defenseadvancement.com/news/mobile-coastal-security-awareness-platforms-to-be-developed-for-the-us-air-force/
7,Military Drone Collaboration for Maritime Defense and Security," April 12, 2024",https://www.defenseadvancement.com/news/military-drone-collaboration-for-maritime-defense-and-security/
8,Battle Exercise Demonstrations for Simultaneous Command and Control Software," April 11, 2024",https://www.defenseadvancement.com/news/battle-exercise-demonstrations-for-simultaneous-command-and-control-software/
9,High-Voltage GaN Load Switch for High-Reliability Applications," April 11, 2024",https://www.defenseadvancement.com/news/high-voltage-gan-load-switch-for-high-reliability-applications/
10,Kraus Hamdani Aerospace to Provide the U.S. Navy with Solar-Electric Group 2 UAS," April 11, 2024",https://www.defenseadvancement.com/news/kraus-hamdani-aerospace-to-provide-the-u-s-navy-with-solar-electric-group-2-uas/
11,MORA-Aligned System Live Demo at Spring Technology Expo," April 11, 2024",https://www.defenseadvancement.com/news/mora-aligned-system-live-demo-at-spring-technology-expo/
12,Radar Tracks Space Objects from Japanese Ship," April 15, 2024",https://www.defenseadvancement.com/news/radar-tracks-space-objects-from-japanese-ship/
13,infiniDome Launches New Subsidiary," April 15, 2024",https://www.defenseadvancement.com/news/infinidome-launches-new-subsidiary/
